Mage_Customer::If you are a registered VAT customer," please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation",Si vous êtes un client Entreprise," merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>"
Mage_Customer::If there is an account associated with %s you will receive an email with a link to reset your password.,"Si l'adresse %s existe dans notre base de données, vous recevrez un lien sur celle-ci pour réinitialiser votre mot de passe."
Mage_Customer::Your password has been updated.,Votre mot de passe a été mis à jour.
Mage_Checkout::Select a shipping address from your address book or enter a new address.,Choisissez une adresse de livraison depuis votre carnet d'adresses ou entrer une nouvelle adresse.
Mage_Checkout::Select a billing address from your address book or enter a new address.,Choisissez une adresse de facturation depuis votre carnet d'adresses ou entrer une nouvelle adresse.
MW_Ddate::Your Checkout Progress,Rappel de votre commande
Mage_Checkout::Shopping Cart,Votre panier
Mage_Checkout::"Based on your selection, you may be interested in the following items:",Vos commerçants vous proposent
Pmainguet_CustomCheckout::Edit,Modifier
Pmainguet_CustomCheckout::Loading next step...,Un instant s'il vous plaît ...
Mage_Checkout::Loading next step...,Un instant s'il vous plaît ...
Mage_Checkout::Submitting order information...,"Un instant, nous traitons votre demande ..."
Mage_Bundle::Price as configured,Prix total
"Mage_Customer::Log In","Se connecter"
"Mage_Customer::Sign up","S'inscrire"
"Mage_Customer::My Account","Mon Compte"
"Mage_Customer::Prefix","Préfixe"
Mage_Checkout::Estimate Shipping and Tax,"Sélectionnez votre mode de livraison"
"Mage_Adminhtml::As low as:","A partir de:"
"Mage_Bundle::As low as","A partir de"
"Mage_Catalog::As low as:","A partir de:"
"Search results for '%s'","Résultats de recherche pour '%s'"
"Your search returns no results.","Désolé, nos commerçants n'ont pas le produit que vous recherchez."
Apdc_Cart::All merchant's items have been removed successfully.,Tous les produits du commerçant ont été retiré de votre panier.
Apdc_Cart::"Can not remove the item.","Nous ne pouvons retirer le(s) produit(s) de votre panier."
"Adyen_Payment::Invalid credit number card.","Le numéro de carte de crédit, le CVV et/ou la date de validité sont invalides. Merci de bien vouloir vérifier vos informations bancaires."
