Edit Options,Modifier le produit
Add to cart,Ajouter au panier
Remove one product,Ajouter un produit au panier
Remove product from cart,Retirer le produit du panier
Add one product,Ajouter un produit au panier
Choose your options,Choisissez vos options
Choose an Option...,Choisissez une option
