Mage_Persistent::"Persist Shopping Cart","Persist Shopping Cart",,
Mage_Persistent::"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)",,
Mage_Persistent::"Persistent Shopping Cart","Persistent Shopping Cart",,
Mage_Persistent::"Clear Persistence on Log Out","Clear Persistence on Log Out",,
