Your Cart,Votre panier
Close,Fermer
Remove This Item,Supprimer ce produit
Edit item parameters,Editer le produit
Edit,Editer
"You have no items in your shopping cart.","Vous n'avez pas de produit dans votre panier"
Your comment has been saved successfully.,Votre commentaire a bien été enregistré.
Unable to find the requested item,Impossible de trouver le produit demandé
"Unable to find the item id","Impossible de trouver l'item du produit"
"Cannot add your comment to the item.","Impossible d'ajouter le commentaire à votre produit"
