commercant,sku,reference_interne_magasin,,,,name,Pain tranché?:drop_down:1,visibility,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,unite_prix,prix_public,status,on_selection,short_description,poids_portion,nbre_portion,poids_par_pers,weight,price,prix_kilo_site,description,suggestion_utilisation,conseil_commercant,tax_class_id,marge_arriere,cost,categories,_product_websites,store,websites,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
La Fille du Boulanger,FDB17-PAT-0011,,PAT,Pains Tradi',,Pain Baltik,"Oui|Non
",4,,,,,,,pièce,2.40 €,Activé,1,Le pain de 350g,0.350,1,,0.350,2.40 €,2.4 €/pièce,"Délicatement recouvert de flocons d’orge, le Pain Baltik est un mélange de farine d’orge et de froment, auquel on a incorporé juste ce qu’il fallait de graines de tournesol, lin brun, lin jaune et millet rouge. Ce pain élaboré avec un levain de seigle comprend une proportion d’ingrédients essentiels pour obtenir un produit savoureux au bel aspect brun. La recette permet d’obtenir un pain à la mâche souple et légère.",,,5,0.08,2.09 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,painbaltik.jpg,painbaltik.jpg,painbaltik.jpg,Pain Baltik,Pain Baltik,Pain Baltik,,Pain Baltik,"Délicatement recouvert de flocons d’orge, le Pain Baltik est un mélange de farine d’orge et de froment, auquel on a incorporé juste ce qu’il fallait de graines de tournesol, lin brun, lin jaune et millet rouge. Ce pain élaboré avec un levain de seigle comprend une proportion d’ingrédients essentiels",,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0012,,PAT,Pains Tradi',,Pain Charpentier,"Oui|Non
",4,,,,,,,pièce,2.20 €,Activé,,Le pain de 325g,0.325,1,,0.325,2.20 €,2.2 €/pièce,"Le Charpentier a une belle mie colorée et aérée. Sa croute est craquante et bien dorée. Les longues alvéoles de la mie en font un pain léger que l’on consomme à tous les repas. Le subtil mélange de farines de blé et de seigle avec le levain donne une couleur ocre à la mie et une saveur unique. Grâce à la farine de seigle et à sa recette traditionnelle, leur conservation est excellente.",,,5,0.09,1.90 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,charpentier.jpg,charpentier.jpg,charpentier.jpg,Pain Charpentier,Pain Charpentier,Pain Charpentier,,Pain Charpentier,Le Charpentier a une belle mie colorée et aérée. Sa croute est craquante et bien dorée. Les longues alvéoles de la mie en font un pain léger que l’on consomme à tous les repas. Le subtil mélange de farines de blé et de seigle avec le levain donne une couleur ocre à la mie et une saveur unique. Grâce,,,
La Fille du Boulanger,FDB17-PAT-0013,,PAT,Pains Tradi',,Baguette Apéritive Chorizo,,4,,,,,,,pièce,1.50 €,Activé,,L'unité,,1,,0.000,1.50 €,1.5 €/pièce,,,,5,0.10,1.28 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Baguette Apéritive Chorizo,Baguette Apéritive Chorizo,Baguette Apéritive Chorizo,,Baguette Apéritive Chorizo,,,,
La Fille du Boulanger,FDB17-PAT-0014,,PAT,Pains Tradi',,Baguette Apéritive Chèvre / Herbe de Provence,,4,,,,,,,pièce,1.50 €,0,,L'unité,,1,,0.000,1.50 €,1.5 €/pièce,,,,5,0.10,1.28 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Baguette Apéritive Chèvre / Herbe de Provence,Baguette Apéritive Chèvre / Herbe de Provence,Baguette Apéritive Chèvre / Herbe de Provence,,Baguette Apéritive Chèvre / Herbe de Provence,,,,
La Fille du Boulanger,FDB17-PAT-0015,,PAT,Pains Tradi',,Baguette Apéritive Lardon Emmental,,4,,,,,,,pièce,1.50 €,Activé,,L'unité,,1,,0.000,1.50 €,1.5 €/pièce,,,,5,0.10,1.28 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Baguette Apéritive Lardon Emmental,Baguette Apéritive Lardon Emmental,Baguette Apéritive Lardon Emmental,,Baguette Apéritive Lardon Emmental,,,,
La Fille du Boulanger,FDB17-PAT-0016,,PAT,Pains Tradi',,1/4 de pain de seigle,Oui|Non,4,,,,,,,pièce,3.50 €,Activé,1,Le 1/4 pain de seigle (200g environ),0.200,1,,0.200,3.50 €,3.5 €/pièce,"Ce pain de seigle accompagnera avec délice les fruits de mer, particulièrement les huitres.",,,5,0.61,1.28 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,FIB17-painseigle.jpg,FIB17-painseigle.jpg,FIB17-painseigle.jpg,1/4 de pain de seigle,1/4 de pain de seigle,1/4 de pain de seigle,,1/4 de pain de seigle,"Ce pain de seigle accompagnera avec délice les fruits de mer, particulièrement les huitres.",,"MAR17-COQ-1054,MAR17-COQ-1055,FDB17-CRE-1100",
La Fille du Boulanger,FDB17-PAT-0017,,PAT,Pains Tradi',,1/4 de pain de seigle,,1,,,,,,,pièce,3.50 €,Activé,1,Le 1/4 pain de seigle (200g environ),0.200,1,,0.200,3.50 €,3.5 €/pièce,"Ce pain de seigle accompagnera avec délice les fruits de mer, particulièrement les huitres.",,,5,0.61,1.28 €,Boulanger/La Fille du Boulanger/Pains Tradi';;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,FIB17-painseigle.jpg,FIB17-painseigle.jpg,FIB17-painseigle.jpg,1/4 de pain de seigle,1/4 de pain de seigle,1/4 de pain de seigle,,1/4 de pain de seigle,"Ce pain de seigle accompagnera avec délice les fruits de mer, particulièrement les huitres.",,"MAR17-COQ-1054,MAR17-COQ-1055,FDB17-CRE-1100",
La Fille du Boulanger,FDB17-PAB-0001,,PAB,Pains Bios,,Baguette BIO,,4,,,,,,AB,pièce,1.20 €,Activé,1,La Baguette de 250g,0.250,1,,0.250,1.20 €,1.2 €/pièce,Produit biologique.,,,5,0.13,1.00 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,baguettebio.jpg,baguettebio.jpg,baguettebio.jpg,Baguette BIO,Baguette BIO,Baguette BIO,,Baguette BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0002,,PAB,Pains Bios,,Pain de Campagne BIO,"Oui|Non
",4,,,,,,AB,pièce,2.80 €,Activé,,Le pain de 300g,0.300,1,,0.300,2.80 €,2.8 €/pièce,Produit biologique.,,,5,0.11,2.37 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,paincampagnebio.jpg,paincampagnebio.jpg,paincampagnebio.jpg,Pain de Campagne BIO,Pain de Campagne BIO,Pain de Campagne BIO,,Pain de Campagne BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0003,,PAB,Pains Bios,,Pain aux Noix BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain aux Noix BIO,Pain aux Noix BIO,Pain aux Noix BIO,,Pain aux Noix BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
