AwoDev_AwoRewards::Example: entering 5 will mean every 5 points equals 1 of your default currency. Entering 0.5 means every point equals 2 of your default currency. If set to 0 or blank a 1 to 1 ratio is used.,Example: entering 5 will mean every 5 points equals 1 of your default currency. Entering 0.5 means every point equals 2 of your default currency. If set to 0 or blank a 1 to 1 ratio is used.,,
AwoDev_AwoRewards::Expiration,Expiration,,
AwoDev_AwoRewards::External APIs,External APIs,,
AwoDev_AwoRewards::Facebook,Facebook,,
AwoDev_AwoRewards::Fee Payer,Fee Payer,,
AwoDev_AwoRewards::First review only,First review only,,
AwoDev_AwoRewards::First Send Date,Demande envoyée le,,
AwoDev_AwoRewards::Follow us on Twitters,Follow us on Twitters,,
AwoDev_AwoRewards::Form Type,Form Type,,
AwoDev_AwoRewards::Friend,Nom du filleul,,
AwoDev_AwoRewards::Friend's email,Friend's email,,
AwoDev_AwoRewards::From Email,From Email,,
AwoDev_AwoRewards::From Name,From Name,,
AwoDev_AwoRewards::General,General,,
AwoDev_AwoRewards::Generate,Generate,,
AwoDev_AwoRewards::Generate block code for CMS pages and static blocks.,Generate block code for CMS pages and static blocks.,,
AwoDev_AwoRewards::Get Started,Get Started,,
AwoDev_AwoRewards::Global,Global,,
AwoDev_AwoRewards::Google,Google,,
AwoDev_AwoRewards::Google Mail,Google Mail,,
AwoDev_AwoRewards::ID,ID,,
AwoDev_AwoRewards::Inactive,Inactive,,
AwoDev_AwoRewards::Installed Version,Installed Version,,
AwoDev_AwoRewards::Instant,Instant,,
AwoDev_AwoRewards::Invalid Configuration,Invalid Configuration,,
AwoDev_AwoRewards::Invalid email address,Email invalide,,
AwoDev_AwoRewards::Invalid email(s),Email(s) invalides,,
AwoDev_AwoRewards::Invalid License,License invalide,,
AwoDev_AwoRewards::Invalid Local Key,Local Key invalide,,
AwoDev_AwoRewards::Invalid shop email,Email de la boutique invalide,,
AwoDev_AwoRewards::Invitation,Parrainez un proche,,
AwoDev_AwoRewards::Invitation Email Statistics,Invitation Email Statistics,,
AwoDev_AwoRewards::Invitation Name,Invitation Name,,
AwoDev_AwoRewards::Invitation Page Description,Invitation Page Description,,
AwoDev_AwoRewards::Invitation Type,Invitation Type,,
AwoDev_AwoRewards::Invitation(s) sent,Invitation(s) envoyée(s),,
AwoDev_AwoRewards::Invitations,Invitez un proche,,
AwoDev_AwoRewards::IP Address,IP Address,,
AwoDev_AwoRewards::Item was successfully deleted,Item was successfully deleted,,
AwoDev_AwoRewards::Join Date,Client depuis,,
AwoDev_AwoRewards::Last Sent Date,Date du dernier envoi,,
AwoDev_AwoRewards::Last Ten Credits,Dernier 10 Crédits,,
AwoDev_AwoRewards::Last Ten Referrals,Dernier 10 referrals,,
AwoDev_AwoRewards::Latest Version,Latest Version,,
AwoDev_AwoRewards::Latest Version Installed,Latest Version Installed,,
AwoDev_AwoRewards::License,License,,
AwoDev_AwoRewards::License Activated,License Activated,,
AwoDev_AwoRewards::License does not match local key,License does not match local key,,
AwoDev_AwoRewards::License Expired,License Expired,,
AwoDev_AwoRewards::Like our Facebook FanPage,Like our Facebook FanPage,,
AwoDev_AwoRewards::Local Key,Local Key,,
